	S2-103v3	S4-106v3	S6-109v3	S8-111v3	S10-117v3	S12-118v3	S14-122v3	S16-202v3	S20-304v3	S22-305v3	S24-309v3	S26-311v3	S28-315v3	S30-316v3	S32-321v3	S34-322v3	S36-401v3	S38-404v3	S40-408v3	S42-413v3	S86-101V3	S92-108v3	S94-113v3	S96-114v3	S98-120v3	S100-203v3	S102-207v3	S104-301v3	S108-310v3	S110-314v3	S114-319v3	S116-403v3	S118-405v3	S120-410v3	S122-411v3	S124-416v3
Group	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Comparison_Group	g2	g12	g12	g12	g2	g12	g2	g2	g12	g2	g12	g2	g12	g12	g2	g2	g2	g12	g2	g2	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9	g9
k__Archaea_p__Euryarchaeota	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173578947368	0.0	0.0145368421053	1.05263157895e-05	0.0
k__Bacteria_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.000147368421053	1.05263157895e-05	2.10526315789e-05	0.000189473684211	0.0	0.000263157894737	0.0	0.000115789473684	9.47368421053e-05	0.000231578947368	0.0	0.00156842105263	0.000231578947368	0.00189473684211	0.000178947368421	0.000221052631579
k__Bacteria_p__Actinobacteria	0.0108421052632	0.0406947368421	0.0374315789474	0.00141052631579	0.0159052631579	0.0167157894737	0.0118105263158	0.0271894736842	0.0145368421053	0.0225052631579	0.0390526315789	0.0314736842105	0.0066	0.0278631578947	0.00363157894737	0.0194736842105	0.0382421052632	0.00517894736842	0.0143789473684	0.000747368421053	0.116568421053	0.011	0.0886	0.0449789473684	0.0537052631579	0.0239157894737	0.0525052631579	0.0243578947368	0.0335894736842	0.0475789473684	0.00872631578947	0.0153157894737	0.0527052631579	0.0228	0.00754736842105	0.0748210526316
k__Bacteria_p__Bacteroidetes	0.358894736842	0.1756	0.191315789474	0.0840842105263	0.336705263158	0.156168421053	0.246610526316	0.0868210526316	0.180336842105	0.0818947368421	0.254189473684	0.287884210526	0.312084210526	0.274894736842	0.250715789474	0.200147368421	0.151357894737	0.344126315789	0.225926315789	0.377894736842	0.0527578947368	0.509452631579	0.195157894737	0.336389473684	0.0949052631579	0.0685894736842	0.163715789474	0.410894736842	0.213526315789	0.239126315789	0.184210526316	0.118547368421	0.114505263158	0.207978947368	0.0488210526316	0.273673684211
k__Bacteria_p__Cyanobacteria	1.05263157895e-05	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	7.36842105263e-05	0.00310526315789	0.0	0.0	8.42105263158e-05	0.0	0.0	0.000642105263158	0.0	0.0	1.05263157895e-05	0.000315789473684	0.0002	0.0	0.0	0.000494736842105	0.0	0.0	0.000694736842105	0.0	1.05263157895e-05	0.000736842105263	1.05263157895e-05	0.0	1.05263157895e-05	9.47368421053e-05	0.000221052631579	2.10526315789e-05	2.10526315789e-05
k__Bacteria_p__Elusimicrobia	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000115789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes	0.620894736842	0.760736842105	0.760842105263	0.909957894737	0.613315789474	0.824736842105	0.728536842105	0.877894736842	0.778778947368	0.855221052632	0.696157894737	0.655989473684	0.655210526316	0.679357894737	0.719978947368	0.759694736842	0.790315789474	0.625978947368	0.735757894737	0.611210526316	0.824736842105	0.474884210526	0.702052631579	0.600094736842	0.847873684211	0.896084210526	0.772863157895	0.560273684211	0.7068	0.686105263158	0.792042105263	0.828378947368	0.829494736842	0.7226	0.933473684211	0.646273684211
k__Bacteria_p__Fusobacteria	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	2.10526315789e-05	4.21052631579e-05	1.05263157895e-05	0.0	0.0	3.15789473684e-05	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	1.05263157895e-05	0.0	0.0	0.0	1.05263157895e-05	0.0	3.15789473684e-05	2.10526315789e-05	3.15789473684e-05	0.0	0.0	0.0	1.05263157895e-05	0.0
k__Bacteria_p__Lentisphaerae	0.0	0.0	0.0	0.0	0.00338947368421	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0002	0.0	0.0	7.36842105263e-05	1.05263157895e-05	0.000484210526316	0.000126315789474	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	2.10526315789e-05	0.0	0.0
k__Bacteria_p__Proteobacteria	0.00932631578947	0.0179473684211	0.00273684210526	0.00452631578947	0.0118947368421	0.00194736842105	0.0113052631579	0.00757894736842	0.0152842105263	0.0092	0.00646315789474	0.0241894736842	0.0187894736842	0.0177684210526	0.0239578947368	0.0124	0.0189789473684	0.0145157894737	0.0153473684211	0.00687368421053	0.00556842105263	0.00335789473684	0.0136421052632	0.0182105263158	0.00307368421053	0.008	0.0108526315789	0.00409473684211	0.0376315789474	0.0268947368421	0.0136736842105	0.0152	0.00241052631579	0.00807368421053	0.00195789473684	0.00254736842105
k__Bacteria_p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10526315789e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00642105263158	0.0	0.0	0.000115789473684	0.0	0.0	0.0	0.0	0.000757894736842	0.000989473684211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00277894736842	2.10526315789e-05	0.0
k__Bacteria_p__TM7	3.15789473684e-05	0.000242105263158	0.000126315789474	1.05263157895e-05	0.000231578947368	0.000231578947368	0.000136842105263	5.26315789474e-05	0.000684210526316	0.000305263157895	7.36842105263e-05	0.000347368421053	0.0	8.42105263158e-05	1.05263157895e-05	4.21052631579e-05	6.31578947368e-05	0.000221052631579	2.10526315789e-05	0.000105263157895	0.0002	3.15789473684e-05	0.0	0.000136842105263	0.000315789473684	0.000157894736842	5.26315789474e-05	0.0	0.000473684210526	3.15789473684e-05	0.00129473684211	3.15789473684e-05	0.000157894736842	0.000726315789474	0.000842105263158	0.000105263157895
k__Bacteria_p__Tenericutes	0.0	6.31578947368e-05	0.0	0.0	0.000136842105263	0.0	0.000621052631579	1.05263157895e-05	0.000894736842105	0.0	0.0	0.0	0.000831578947368	1.05263157895e-05	0.0	0.00353684210526	0.0	0.00116842105263	1.05263157895e-05	3.15789473684e-05	0.0	0.000568421052632	0.0	0.0	0.0	0.000178947368421	0.0	0.0	0.0	0.0	0.0	0.000168421052632	0.0004	0.000684210526316	0.00676842105263	0.00230526315789
k__Bacteria_p__Verrucomicrobia	0.0	0.0	0.00672631578947	0.0	0.0137473684211	0.0	0.0	0.0002	0.00357894736842	0.0240421052632	0.004	0.0	0.000136842105263	0.0	0.0	0.00238947368421	0.000231578947368	0.00178947368421	0.00604210526316	0.000210526315789	0.0	0.000673684210526	1.05263157895e-05	0.0	1.05263157895e-05	0.00211578947368	0.0	0.000252631578947	0.00711578947368	0.0	2.10526315789e-05	0.0034	0.0	0.0176842105263	0.000347368421053	3.15789473684e-05
k__Archaea_p__Euryarchaeota_c__Methanobacteria	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0173578947368	0.0	0.0145368421053	1.05263157895e-05	0.0
k__Bacteria_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.000147368421053	1.05263157895e-05	2.10526315789e-05	0.000189473684211	0.0	0.000263157894737	0.0	0.000115789473684	9.47368421053e-05	0.000231578947368	0.0	0.00156842105263	0.000231578947368	0.00189473684211	0.000178947368421	0.000221052631579
