	S2-103v3	S4-106v3	S6-109v3	S8-111v3	S10-117v3	S12-118v3	S14-122v3	S16-202v3	S20-304v3	S22-305v3	S24-309v3	S26-311v3	S28-315v3	S30-316v3	S32-321v3	S34-322v3	S36-401v3	S38-404v3	S40-408v3	S42-413v3	S1-103v1	S3-106v1	S5-109v1	S7-111v1	S9-117v1	S11-118v1	S13-122v1	S15-202v1	S19-304v1	S21-305v1	S23-309v1	S27-315v1	S31-321v1	S33-322v1	S35-401v1	S37-404v1	S39-408v1	S41-413v1
time	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Followup	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline	Baseline
k__Archaea_p__Euryarchaeota	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0222	0.00786315789474	0.0	0.00187368421053	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0121368421053	1.05263157895e-05	0.0	3.15789473684e-05	0.00689473684211	2.10526315789e-05	0.0104
k__Archaea_p__Euryarchaeota_c__Methanobacteria	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0222	0.00786315789474	0.0	0.00187368421053	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0121368421053	1.05263157895e-05	0.0	3.15789473684e-05	0.00689473684211	2.10526315789e-05	0.0104
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0222	0.00786315789474	0.0	0.00187368421053	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0121368421053	1.05263157895e-05	0.0	3.15789473684e-05	0.00689473684211	2.10526315789e-05	0.0104
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae	0.0	0.00466315789474	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	1.05263157895e-05	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00401052631579	5.26315789474e-05	0.00195789473684	0.0	0.0222	0.00786315789474	0.0	0.00187368421053	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0121368421053	1.05263157895e-05	0.0	3.15789473684e-05	0.00689473684211	2.10526315789e-05	0.0104
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanobrevibacter	0.0	0.00161052631579	0.000747368421053	1.05263157895e-05	0.000326315789474	0.0	0.0	0.000115789473684	0.0	0.0	0.0	0.0	0.00189473684211	0.0	0.0	1.05263157895e-05	0.000178947368421	0.00151578947368	5.26315789474e-05	0.00195789473684	0.0	0.0114	0.00786315789474	0.0	0.00187368421053	0.0	0.0	4.21052631579e-05	0.0	0.0	0.0	0.0121368421053	1.05263157895e-05	0.0	3.15789473684e-05	0.00550526315789	2.10526315789e-05	0.0104
k__Archaea_p__Euryarchaeota_c__Methanobacteria_o__Methanobacteriales_f__Methanobacteriaceae_g__Methanosphaera	0.0	0.00305263157895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05263157895e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00249473684211	0.0	0.0	0.0	0.0108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00138947368421	0.0	0.0
k__Bacteria_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.0	0.000231578947368	5.26315789474e-05	0.0	0.00329473684211	0.000252631578947	0.000357894736842	5.26315789474e-05	0.00155789473684	0.000231578947368	6.31578947368e-05	0.00555789473684	0.0	0.0016	0.000115789473684	0.000442105263158	0.000389473684211	0.00222105263158
k__Bacteria_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.0	0.000231578947368	5.26315789474e-05	0.0	0.00329473684211	0.000252631578947	0.000357894736842	5.26315789474e-05	0.00155789473684	0.000231578947368	6.31578947368e-05	0.00555789473684	0.0	0.0016	0.000115789473684	0.000442105263158	0.000389473684211	0.00222105263158
k__Bacteria_Other_Other_Other	0.0	5.26315789474e-05	7.36842105263e-05	0.0	0.00431578947368	0.000189473684211	0.000957894736842	2.10526315789e-05	0.00276842105263	0.0004	6.31578947368e-05	0.0	0.00412631578947	2.10526315789e-05	0.00106315789474	0.00223157894737	0.000621052631579	0.00175789473684	0.00103157894737	0.000768421052632	0.0	0.000231578947368	5.26315789474e-05	0.0	0.00329473684211	0.000252631578947	0.000357894736842	5.26315789474e-05	0.00155789473684	0.000231578947368	6.31578947368e-05	0.00555789473684	0.0	0.0016	0.000115789473684	0.000442105263158	0.000389473684211	0.00222105263158
